title,job_description
software developer,yerevan brandy company job title software developer position location yerevan armenia job responsibilities rendering technical assistance database management systems realization sql servers maintenance activities backup replication participation designing software development projects required qualifications university degree economical background plus excellent knowledge windows 2000 server networking tcp ip technologies ms sql 2000 server visual basic 6 least 2 years experience database software development good knowledge english remuneration commensurate norms accepted company application procedures successful candidates submit cv 2 relevant recommendation letters previous employers copy ies diploma relevant certificates available 1 color photo 3x4 either 2 isakov avenue 375082 yerevan send following fax 587 713 email toarminebibilyan human resources department armine bibilyan please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 20 january 2004 1800 place free posting job career related opportunities organization careercenteram website email us atmailbox
network administrator,netcall communications job title network administrator position location yerevan armenia job responsibilities network monitoring administration database administration ms sql 2000 required qualifications excellent knowledge windows 2000 server linux platform networking tcp ip technologies ms sql 2000 server least 2 years experience proper field good knowledge english application procedures successful candidates submit cv 12 relevant recommendation letters previous employers tojob please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 28 february 2004 1800 place free posting job career related opportunities organization careercenteram website email us atmailbox
software developer,synergy international systems incarmenia job title software developer position location yerevan armenia job description synergy international systems incarmenia seeks fill longterm position software developer responsibilities position focused core software development tasks synergy international systems inc synergys main focus developing integrated stateoftheart web database web portal systems business intelligence knowledge management egovernment solutions position filled software developer proven history producing quality software product commercial setting experience dynamic workplace solid software developing practice required ideally position filled candidate experience aspects software development process including design implementation testing delivery job responsibilities specific tasks key responsibilities include limited following translate design requirements specifications robust implementations design prototype develop manage technical aspects software perform implementations timely fashion perform quality assurance tasks testing software products required qualifications degree computer science information technology related discipline bachelors degree relevant field required masters degree preferred least 3 years successful experience software development extensive development experience current industry technologies including java sql etc related tools working experience design complex database systems stored procedures experience j2ee development jsp servlets knowledge one programming languages cvisual c vb knowledge htmlxml aspphp additional characteristics ability work pressure multitask environment ability work team selfdirected highly motivated excellent analytical problemsolving skills attention detail excellent interpersonal organizational skills fluency english application procedures interested please send resume cover letter listing qualifications software development related experience indicating contact details phone fax andor email address reached ms anahit sargsyan office manager mail mailarm phone 374 1 56 76 81 candidates meet qualifications interviewed required take test selected candidates notified interview dates directly please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 15 march 2004 5 pm company synergy international systems inc us software company operating armenia yerevan subsidiary specializing development integrated information management systems place free posting job career related opportunities organization careercenteram website email us atmailbox
project manager,united nations development programme job title project manager position location yerevan armenia job description undp ministry health seek professionals project hivaids uniformed services job responsibilities daily management project activities leading supervising monitoring project staff expert groups conducting kap knowledge attitude practices surveys among 600 uniformed personnel undertaking situation response analysis developing specific strategic plan hivaids interventions uniformed services liaise relevant ministries programs international local counterparts especially hivaids focal points three cooperating ministries ministry justice ministry defence police reporting ministry health undp outputs project required qualifications advanced university degree public health related field least 3 years working experience international organizations good knowledge institutional framework armenias hivaids prevention system good knowledge unaids policies strategies familiarity global regional initiatives including armenia project funded global fund fight aids tb malaria strong analytical skills ability make recommendations present proposals improvement change project activities proficiency usage computers office software package ms word excel internet intranet good team work spirit proficiency armenian russian good knowledge english asset application procedures candidates submit letter motivation english position project coordinator assistant full cvor completed un p11 form obtained un security desk accompanied recent identity photograph copies diplomas applications also submitted httpocundpam site vacancies announcements late incomplete applications considered please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 29 february 2004 1700 place free posting job career related opportunities organization careercenteram website email us atmailbox
network administrator,cit ltd title network administrator term full time location yerevan armenia job description cit looking qualified network administrator deal lan wans required qualifications good knowledge win 2000 server win 2003 server exchange mail server unix linux ad dc dns lan wan work experience less 3 years application procedures qualified candidates send resume rosak please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 15 may 2004 place free posting job careerrelated opportunities organization careercenteram website email us atmailbox
project manager,foundation internews georgia title project manager location tbilisi georgia job description foundation internews georgia seeking qualified candidate full time position project manager job responsibilities manage enhance implementation projects prepare monthly andor quarterly programmatic reports agreement funders upon requirements identify develop news projectprogram proposals donorclient funded activities working independently solicit funds donors contribute fundraising prepare general reports covering projects activities implemented internews develop impact assessment develop regular statistic programmatic analysis internews activities undertake general business correspondence represent organization interactions international community state bodies nongovernmental organizations coordinate implementation ongoing projects absence executive director required qualifications university degree public administration political science law education social science development related studies least 3 years work experience managerial level international nongovernmental organization experience donorfunded activitiesprojects ability work independently pressure experience donor funded project design management strong skills demonstrated experience project proposal development fundraising strong skills demonstrated experience programmatic reporting professional experience sectors governance civil society advocacy rights media development human rights social development strong analytical communication organisational skills strong interpersonal skills ability commitment work individually part team flexibility ability cope unexpected handle prioritize full workload skills confidence represent internews georgia levels fluency georgian english speaking writing good knowledge russian computer proficiency ms applications windows word excel power point ability travel regions application procedures please submit resume english short cover letter explaining would want job hard copy internews georgia 1422 paolo iashvili st tbilisi 0105 attention tamuna kakulia email tamriko phone calls please shortlisted applicants contacted interview please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 15 june 2004 6 pm place free posting job careerrelated opportunities organization careercenteram website email us atmailbox
software developer,synergy international systems inc armenia title software developer duration longterm location yerevan armenia job description responsibilities position focused core software development tasks synergy international systems inc synergys main focus developing integrated web database web portal systems position filled software developer proven history producing quality software product commercial setting experience dynamic workplace solid software developing practice required ideally position filled candidate experience aspects software development process including design implementation testing delivery job responsibilities specific tasks key responsibilities include limited translate design requirements specifications robust implementations design prototype develop manage technical aspects software perform implementations timely fashion perform quality assurance tasks testing software products required qualifications degree computer science information technology related discipline bachelors degree relevant field required masters degree preferred least 3 years successful experience software development extensive development experience current industry technologies including java sql etc related tools working experience design complex database systems stored procedures experience j2ee development jspservlets knowledge one programming languages cvisual c vb knowledge htmlxml aspphp additional characteristics ability work pressure multitask environment ability work team selfdirected highly motivated excellent analytical problemsolving skills attention detail excellent interpersonal organizational skills fluency english application procedures interested please send resume cover letter listing qualifications software development related experience indicating contact details phone fax andor email address reached contact person stipulated contact info ms anahit sargsyan office manager synergy international systems incarmenia 4 6 korioun st yerevan 375009 ra tel 374 1 56 76 81 email mailarm mail candidates meet qualifications interviewed required take test selected candidates notified interview dates directly please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 10 june 2004 500 pm company synergy international systems incurl wwwsynisyscom us software company operating armenia yerevan subsidiary specializing development integrated web database systems place free posting job careerrelated opportunities organization careercenteram website email us atmailbox
network administrator,fordilling holding co title network administrator announcement code 089494 open eligibility criteria citizens armenia 2230 yo duration longterm 1 month initial probation period location yerevan armenia job description na job responsibilities setup followon pc park setting mini office automatic phone station panasonic application lan usage scs technologies consulting starting users pc required qualifications complete higher education excellent knowledge skills windows xp lan wan scs network technologies rich experience diagnostics methods ability learn fast apply gained knowledge knowledge applyed programming ms office 2000 mail client thebat icq application procedures send cv cover letter tofordilling please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 12 june 2004 application deadline 16 june 2004 company armenian branch russian company fordilling holding company providing services private investors international exchange bond market place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
project manager,lycos europe title project manager location yerevan armenia job description project manager mainly project management administration position person follows progress teams various projects planning together architect role requires problemsolving attitude job responsibilities plan follow projects report progress risks deviations plan coach team communication product group international communication work together system architecture ensure quality project required qualifications least 5 years experience project management 5person larger teams least 2year experience working internet related projects successful track records experience working different software development methods experience project management administration skills 3 years knowledge development methodologies xprogramming rup etc good management skills excellent communication skills excellent english skills application procedures send cv info please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 15 july 2004 company lycos armenia currently employs 71 employees since growing demand european development offices actually engaging new staff plan employ 100 employees end year additionally lycos armenia building operations department plan 20 employees end year many lycos products partly fully programmed armenia located 9 alek manookian str place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
software developer,xalt llc title software developer location yerevan armenia job description xalt llc seeking motivated experienced software developer web environment evaluate solutions create detailed system requirement specifications well system design functional specifications software developer support project management team innovative ideas job responsibilities writing high quality code based implementation specification effective programming unixlinux environment participating web applications design development updating existing websites scripting web programming required qualifications successful candidate required strong knowledge php mysql html xml knowledge data structures algorithms database concepts required cc perl programming languages knowledge desirable least two years experience relevant field good knowledge english team oriented organized initiative willing learn new skills application procedures interested software developers position please email cover letter cv toinfo please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline july 20 2004 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
